,age,maxAlpha_freq_PO,maxAlpha_power_PO,maxBeta_freq_PO,maxBeta_power_PO,maxDelta_freq_PO,maxDelta_power_PO,maxTheta_freq_PO,maxTheta_power_PO,maxthetaTOalpha_freq_PO,maxthetaTOalpha_power_PO,sex,sub,age,maxAlpha_freq_MF,maxAlpha_power_MF,maxBeta_freq_MF,maxBeta_power_MF,maxDelta_freq_MF,maxDelta_power_MF,maxTheta_freq_MF,maxTheta_power_MF,maxthetaTOalpha_freq_MF,maxthetaTOalpha_power_MF,sex,sub,sub_id_only,wave,PO_EO_slope,MF_EO_slope,PO_EO_yint,MF_EO_yint
0,3.8027397260000004,,,,,,,,,,,,1205_45,3.8027397260000004,,,33.876794826111215,0.2389682095359653,,,,,,,,1205_45,1205,_45,1.3398276553684687,1.4632872616578176,-10.485269416397404,-10.542321838726844
1,3.005479452,,,30.073760721394123,0.3006687555118752,,,7.17374425271276,0.5971809941281343,7.17374425271276,0.5971809941281343,,1016_36,3.005479452,,,25.284678089163428,0.32550763148858586,,,,,,,,1016_36,1016,_36,1.487837982335231,1.101688757466565,-10.264900826468226,-10.54633534224622
2,5.290410959,,,,,,,,,,,,1610_63,5.290410959,,,36.857693009289065,0.25930548215229804,,,,,,,,1610_63,1610,_63,1.1366611098924428,1.2954943317858434,-10.30526774681209,-10.153341782060679
3,3.75890411,,,34.020605887520084,0.2236680318701741,,,,,,,,1002_45,3.75890411,,,,,3.602420598871153,0.4526102710274156,,,,,,1002_45,1002,_45,1.8207084691840905,1.1101442169424705,-9.797312063709636,-10.686410790302805
4,5.290410959,,,,,,,6.3750110972448875,0.2091178020958111,6.3750110972448875,0.2091178020958111,,1609_63,5.290410959,,,,,,,7.422832988973795,0.3037915259448152,7.422832988973795,0.3037915259448152,,1609_63,1609,_63,1.3558715318742116,1.38735588949998,-10.286478527106508,-10.358599344771502
5,3.81369863,,,,,,,,,,,,1016_45,3.81369863,,,24.47649256640349,0.2800693343535947,,,,,,,,1016_45,1016,_45,1.261710747350525,1.0726827706063131,-10.438318015310893,-10.662083716605883
6,3.824657534,,,,,,,,,,,,1012_45,3.824657534,,,35.29687499999999,0.31525964997858225,,,,,,,,1012_45,1012,_45,1.3383035214867316,1.5242294789122268,-10.255788040081773,-10.200532762443842
7,5.323287671,,,30.22629186288221,0.3003888701696926,,,,,,,,1612_63,5.323287671,,,,,3.765625000000004,0.7176292561972151,,,,,,1612_63,1612,_63,1.5479863130203602,0.8093362635314301,-10.073549860513053,-11.227254584828836
8,3.84109589,,,,,,,,,,,,1014_45,3.84109589,,,24.535266712937087,0.15447310887536858,3.6597130068172734,0.4275560845415374,,,,,,1014_45,1014,_45,1.2026950878419609,0.9675683614088716,-10.334068510075914,-10.946345205467232
9,5.2767123289999995,,,,,,,6.138322310571243,0.27594571144035385,6.138322310571243,0.27594571144035385,,1402_63,5.2767123289999995,,,,,,,5.906705377035372,0.2272890087797705,5.906705377035372,0.2272890087797705,,1402_63,1402,_63,1.3274281455018897,1.265318216119271,-10.644316307149737,-10.563592511998014
10,3.0109589039999998,,,25.32262194098184,0.22651301577270644,,,,,,,,1011_36,3.0109589039999998,,,23.519547597607108,0.3886350488706079,,,5.972017352474536,0.2251106631445392,5.972017352474536,0.2251106631445392,,1011_36,1011,_36,1.5986100782849986,1.347627337151224,-10.080864666747168,-10.634144143476671
11,4.638356164,8.751864934528538,0.3034379926864883,,,,,,,8.751864934528538,0.3034379926864883,,1209_54,4.638356164,8.002275343569037,0.3649393120082465,,,,,,,8.002275343569037,0.3649393120082465,,1209_54,1209,_54,1.1620756350116574,1.3097952526046888,-10.37965557165852,-10.600844571971496
12,4.534246575,,,,,,,,,,,,1403_54,4.534246575,,,35.48152856941864,0.37823841652285495,,,,,,,,1403_54,1403,_54,1.1451280889559379,1.369238618547509,-11.125840446709416,-10.966973218229663
13,5.210958904,,,,,,,,,,,,1606_63,5.210958904,,,,,,,7.205148220988045,0.2135971583758032,7.205148220988045,0.2135971583758032,,1606_63,1606,_63,1.3947698338625627,1.3720086966210552,-10.31635994084264,-10.341886638382755
14,4.490410959,,,30.661155709078933,0.178600197071896,,,7.42022468827866,0.2383118119581145,7.42022468827866,0.2383118119581145,,1202_54,4.490410959,,,28.93429352558698,0.21794747880506016,,,7.28219088079631,0.1753073370605378,7.28219088079631,0.1753073370605378,,1202_54,1202,_54,1.4707945672679779,1.4561815139925094,-10.558482161044196,-10.571569550284112
15,4.44109589,,,,,,,,,,,,1212_54,4.44109589,,,,,3.765625,0.576750604006321,,,,,,1212_54,1212,_54,1.1347694064114004,0.721689912450763,-11.530757748503495,-11.586167363052802
16,4.520547945,,,24.63993352363025,0.1235345155381662,,,,,,,,1407_54,4.520547945,,,23.2831005612916,0.19460611863845226,,,,,,,,1407_54,1407,_54,1.1814091283251162,1.0111769401646338,-10.559659236226713,-10.928569257910251
17,5.301369863,,,39.06249999999995,0.2056911168364444,,,,,,,,1613_63,5.301369863,,,,,,,,,,,,1613_63,1613,_63,1.3363803668930716,1.1978762191801855,-11.384893875107483,-11.069378719838364
18,6.131147541,,,20.83657847779949,0.09549047822639344,,,,,,,,1608_72,6.131147541,,,18.586887587433,0.12627188721603488,,,,,,,,1608_72,1608,_72,1.054609555837177,0.8634096858088862,-10.296479334641344,-10.436943025923425
19,3.860273973,,,34.10711886090812,0.20296035662468448,,,,,,,,1003_45,3.860273973,,,,,,,,,,,,1003_45,1003,_45,1.521496908918541,1.3975388579912429,-10.10805711312477,-10.17921120586483
20,3.860273973,,,,,,,4.752473745853533,0.5723981635422497,4.752473745853533,0.5723981635422497,,1006_45,3.860273973,,,28.07687449697031,0.2148541253856333,,,6.854273619026272,0.2562214115044288,6.854273619026272,0.2562214115044288,,1006_45,1006,_45,0.8768680879106272,1.3698887724949207,-10.958397791800758,-10.36209455496707
21,5.293150685,,,,,,,,,,,,1611_63,5.293150685,,,21.60775775039411,0.3395948712570238,,,,,,,,1611_63,1611,_63,1.2679435736844458,1.1055912715661411,-10.521205693303703,-10.755612213375919
22,4.484931507,8.174558021421271,0.7530183425752561,16.751208528338612,0.17198970480105302,,,,,8.174558021421271,0.7530183425752561,,1211_54,4.484931507,8.136430624578088,0.4904478646324648,18.035778607729565,0.10565722241849862,,,,,8.136430624578088,0.4904478646324648,,1211_54,1211,_54,1.542338607999945,1.4385438992102808,-10.437558712185698,-10.364139187955882
23,2.9506849319999997,,,,,,,5.2482876833353815,0.2862487996010312,5.2482876833353815,0.2862487996010312,,1004_36,2.9506849319999997,,,33.802122226792456,0.27570124321811385,,,,,,,,1004_36,1004,_36,1.379117836859132,1.6200494030054553,-10.32592165483999,-10.105759119232674
24,5.238356164,,,23.146861730895253,0.4029650645793605,,,,,,,,1405_63,5.238356164,,,22.60300240190832,0.6031427690440214,,,,,,,,1405_63,1405,_63,1.2637089652478852,1.336139301611548,-10.777823011547415,-10.772008825199821
25,3.7178082189999997,,,,,,,7.035993331566608,0.4233371492001261,7.035993331566608,0.4233371492001261,,1210_45,3.7178082189999997,,,,,,,7.174633786854758,0.4570794136410967,7.174633786854758,0.4570794136410967,,1210_45,1210,_45,1.2565909350736235,1.0616680463786494,-10.527228618724102,-10.533794030356422
26,4.495890411,,,,,,,7.254758559709966,0.4503133742945025,7.254758559709966,0.4503133742945025,,1210_54,4.495890411,,,21.081393623681933,0.3909332972127011,,,7.4770478331228425,0.5392911826073288,7.4770478331228425,0.5392911826073288,,1210_54,1210,_54,1.304727574790847,1.3129956579951716,-10.531333614507362,-10.466103093808147
27,3.7972602739999997,,,,,,,6.7043268148500195,0.2273945578395864,6.7043268148500195,0.2273945578395864,,1202_45,3.7972602739999997,,,,,,,6.876821364605672,0.23733152745956154,6.876821364605672,0.23733152745956154,,1202_45,1202,_45,1.3381705085965572,1.319863704440798,-10.584582011580393,-10.648432776365283
28,3.764383562,,,33.85441823339529,0.20256252106538492,,,7.618752157626476,0.2920234379158977,7.618752157626476,0.2920234379158977,,1213_45,3.764383562,,,,,,,6.761479645059973,0.3435862159909959,6.761479645059973,0.3435862159909959,,1213_45,1213,_45,1.5035601293091123,1.447026182198358,-10.203839649263417,-10.222928861573688
29,4.449315068,,,23.960140239892503,0.2829018632348657,,,,,,,,1405_54,4.449315068,,,22.943253657032102,0.5202793933865237,,,6.553346640523385,0.1770878900541959,6.553346640523385,0.1770878900541959,,1405_54,1405,_54,1.2733668203624668,1.5288297288564971,-10.6832289115569,-10.165038748011408
30,2.978082192,,,,,,,7.175309410043638,0.34119969192718536,7.175309410043638,0.34119969192718536,,1007_36,2.978082192,,,,,3.2972008928460563,0.9629488218589036,,,,,,1007_36,1007,_36,1.2742975351000303,0.4650611036413494,-10.766269413862748,-11.686685927503948
31,3.8219178080000002,,,,,,,6.81326535935532,0.19012978779719525,6.81326535935532,0.19012978779719525,,1008_45,3.8219178080000002,8.711459866730245,0.2340732560605687,27.08245783658547,0.2255809531524289,,,,,8.711459866730245,0.2340732560605687,,1008_45,1008,_45,1.1860451132942764,1.2905530033071726,-10.592670894101914,-10.583052279326887
32,3.77260274,,,,,,,7.377475783529611,0.2430237213660736,7.377475783529611,0.2430237213660736,,1209_45,3.77260274,,,,,,,7.652871521805942,0.35434208356936203,7.652871521805942,0.35434208356936203,,1209_45,1209,_45,1.0707201149726693,1.0399464295407432,-10.781797751028922,-10.5894607184641
33,5.260273973,,,24.237010745376548,0.16251451349890367,,,7.173901679946523,0.1365164282020963,7.173901679946523,0.1365164282020963,,1601_63,5.260273973,,,24.48746975973272,0.20675776970854365,,,,,,,,1601_63,1601,_63,1.4023130018374923,1.3944791935531409,-10.378101458259474,-10.407554754545595
34,3.756164384,,,,,,,7.806447158352556,0.8271597962209185,7.806447158352556,0.8271597962209185,,1211_45,3.756164384,8.135751662762559,0.5201723388143193,17.283364510740153,0.08604626174115992,,,,,8.135751662762559,0.5201723388143193,,1211_45,1211,_45,1.6330501717170331,1.6297933093088608,-10.062409243817534,-10.183900401308339
35,2.9534246580000003,,,35.02484578389166,0.2648101097872413,,,,,,,,1003_36,2.9534246580000003,,,,,,,,,,,,1003_36,1003,_36,1.4829986344228794,1.1278913971212965,-10.398201058792294,-10.524604266364
36,3.005479452,,,34.418322018475216,0.3617735907810857,3.002868027589672,0.2182925740310786,,,,,,1006_36,3.005479452,,,,,,,,,,,,1006_36,1006,_36,1.2442582355130205,1.1800777787348025,-9.981536257370546,-9.941456514137641
37,3.7397260269999997,,,,,,,,,,,,1204_45,3.7397260269999997,,,,,,,5.87531033883839,0.4383387716972873,5.87531033883839,0.4383387716972873,,1204_45,1204,_45,1.8389760777340245,1.3827223794640822,-9.677263362701774,-10.321742052586716
38,3.057377049,,,,,,,,,,,,1023_36,3.057377049,,,,,,,,,,,,1023_36,1023,_36,1.4217718031884297,1.1576902692041922,-10.358875416736696,-10.77915210236521
39,6.109589041,,,30.68742758347681,0.09702030915231853,,,,,,,,1601_72,6.109589041,,,19.953602906807088,0.2676256594540529,,,,,,,,1601_72,1601,_72,1.4848328438319691,1.5739996217431038,-10.244163038279167,-10.168034020634087
40,3.720547945,,,,,,,,,,,,1004_45,3.720547945,,,,,,,,,,,,1004_45,1004,_45,1.3491780577607573,1.4330283765471523,-10.422612368160065,-10.315576828715603
41,4.517808219,,,25.35837234027749,0.1362498047927705,,,5.519099316307398,0.12024980404338947,5.519099316307398,0.12024980404338947,,1201_54,4.517808219,,,24.24251155191075,0.17854109237382154,,,,,,,,1201_54,1201,_54,1.1911331820386288,1.2096144108682545,-10.459334294423348,-10.370715938152546
42,2.997260274,8.410843841617774,0.412725622226672,,,,,,,8.410843841617774,0.412725622226672,,1012_36,2.997260274,,,,,,,6.719438855937211,0.2975786093175987,6.719438855937211,0.2975786093175987,,1012_36,1012,_36,1.8343473834014583,1.8140079640939184,-9.917993075065233,-9.939672961129203
43,3.035616438,,,33.13054733645689,0.2409281798987077,,,5.007586710291001,0.23408697744729426,5.007586710291001,0.23408697744729426,,1014_36,3.035616438,,,,,3.4133814781147414,0.6977366623594019,,,,,,1014_36,1014,_36,1.2725655862190193,0.5911223746894538,-10.374902964064127,-11.411053718503663
44,6.071038251,8.994716005681118,0.2293148111080328,22.351102905212326,0.20475102364048148,,,,,8.994716005681118,0.2293148111080328,,1610_72,6.071038251,8.477304357567778,0.09243696733210173,23.099566983786445,0.2268995833126937,,,,,8.477304357567778,0.09243696733210173,,1610_72,1610,_72,1.195752495208128,1.1565019649783692,-10.837332087839787,-10.702712206723033
45,4.608219178,,,,,3.765625,0.458897808754621,,,,,,1205_54,4.608219178,,,,,,,,,,,,1205_54,1205,_54,1.0040654452822966,1.31250747190618,-11.365568813208888,-10.849081877756683
46,5.287671233,,,19.813426873560413,0.4944885320750689,,,7.5862533004908626,0.32835469995723804,7.5862533004908626,0.32835469995723804,,1607_63,5.287671233,,,20.02603133034996,0.8958574133798667,,,7.327532866596174,0.17889529236987478,7.327532866596174,0.17889529236987478,,1607_63,1607,_63,1.336887894592656,1.295894390578424,-10.470889476272392,-10.487862341015356
47,3.0465753419999997,,,,,,,5.855728777823797,0.2793508122596968,5.855728777823797,0.2793508122596968,,1018_36,3.0465753419999997,,,,,,,,,,,,1018_36,1018,_36,1.1916100806045469,0.944498229861636,-10.428253621939113,-10.464354406025656
48,3.81369863,,,,,3.765625000000005,0.4408749183085128,,,,,,1013_45,3.81369863,,,,,,,4.888040112034472,0.3842433117042869,4.888040112034472,0.3842433117042869,,1013_45,1013,_45,0.9398123588975412,0.8900145160192866,-11.07436900314241,-10.983877008480857
49,5.259562842,,,36.51703721108074,0.1837571582571229,,,4.617599344421536,0.29107931433015644,4.617599344421536,0.29107931433015644,,1407_63,5.259562842,,,,,,,,,,,,1407_63,1407,_63,1.2031137766619862,1.3202229470119264,-10.603545252242364,-10.52151973838486
50,2.9452054789999997,,,,,,,,,,,,1020_36,2.9452054789999997,,,29.463999792793068,0.38770567350941576,,,,,,,,1020_36,1020,_36,1.277406218390044,1.566608764575839,-10.864303021485062,-10.767815259646232
51,5.942465753,,,21.818095200030946,0.14155371273445105,,,5.535852685169607,0.3188847082229618,5.535852685169607,0.3188847082229618,,1611_72,5.942465753,,,,,,,5.345430318824746,0.244962639651952,5.345430318824746,0.244962639651952,,1611_72,1611,_72,1.3396079578443858,1.2136878879329742,-10.400723048782286,-10.534229494178824
52,3.78630137,,,,,,,,,,,,1007_45,3.78630137,,,,,,,,,,,,1007_45,1007,_45,1.299657480933368,1.348220696953007,-10.670039195940543,-10.489405993766272
53,5.4,,,38.900688808720155,0.2466063503235336,,,,,,,,1403_63,5.4,,,,,3.765625,0.582570912937161,,,,,,1403_63,1403,_63,1.4864748956154026,0.7995758739371603,-10.46900601326176,-11.194603215765548
54,5.273972603,,,,,,,7.160507122565672,0.16099117375531868,7.160507122565672,0.16099117375531868,,1608_63,5.273972603,,,,,,,5.803594387356233,0.19677513518048784,5.803594387356233,0.19677513518048784,,1608_63,1608,_63,1.265831323722724,1.2200429386126357,-10.200887052973314,-10.27761252566958
55,3.052054795,,,34.68354006649964,0.22228123578043224,,,,,,,,1010_36,3.052054795,,,,,2.501186462627679,0.7203302302652705,,,,,,1010_36,1010,_36,1.6841423563918358,0.6925842002519239,-9.655419543520397,-11.23534799859649
56,5.22739726,,,,,,,7.063330956646981,0.35091350170786306,7.063330956646981,0.35091350170786306,,1401_63,5.22739726,,,31.259782062834944,0.2476697975744049,,,6.795465817752796,0.3408574477616817,6.795465817752796,0.3408574477616817,,1401_63,1401,_63,1.3748299665786592,1.3016938544192995,-10.263070974749024,-10.693394623160279
57,5.295890411,,,34.3699407334657,0.15324104949324102,,,,,,,,1605_63,5.295890411,,,22.72479882176332,0.09317438484558947,2.9868537464150733,0.35908260231308553,,,,,,1605_63,1605,_63,1.5750409958985516,0.9839850544354186,-10.25783298605689,-10.875303166179142
58,3.780821918,,,,,3.31381137820283,0.4609872330083924,,,,,,1212_45,3.780821918,,,,,3.890781380881908,0.4468246167917141,,,,,,1212_45,1212,_45,0.7373759044498516,0.8288131275706295,-10.901402575638851,-10.698485117687893
59,13.0,9.073227083556432,0.9596268472539862,16.36450917587376,0.3089529317492623,,,,,9.073227083556432,0.9596268472539862,M,A00059063,13.0,9.265814524266892,0.6522652232887598,17.64367766439816,0.17982287016013745,,,7.156943795897673,0.637582191339451,7.156943795897673,0.637582191339451,M,A00059063,A00059063,59063,1.0706450859626029,1.243327108126279,-11.929826085675332,-11.917115826433552
60,10.0,10.441523483673572,0.6972136549922716,,,,,,,10.441523483673572,0.6972136549922716,M,A00055956,10.0,10.907296619696671,0.5124002220687416,23.749187847958122,0.2678167044773723,,,7.266092756872999,0.2274123151881451,7.266092756872999,0.2274123151881451,M,A00055956,A00055956,55956,1.4244423981498218,1.3378697265716792,-11.5115951860484,-11.533467342693696
61,24.0,,,31.93727756998022,0.1386911969219664,,,,,,,F,A00063117,24.0,,,35.11363440159886,0.2386629564350233,,,,,,,F,A00063117,A00063117,63117,1.121059796439919,1.0187113075571763,-12.044417633986885,-12.270468580362012
62,8.0,9.791798838499897,0.4409056914489149,31.76508221927182,0.5782067848583115,,,,,9.791798838499897,0.4409056914489149,F,A00054836,8.0,9.827274821261307,0.20915180333195416,31.70163525599497,0.5123818934780253,,,,,9.827274821261307,0.20915180333195416,F,A00054836,A00054836,54836,1.4116123383939752,1.3461079969605585,-11.577379808696485,-11.747847421601056
63,13.0,10.433554019861829,1.0291242441322217,,,,,7.815624851381742,0.5171295877061137,7.815624851381742,0.5171295877061137,F,A00054359,13.0,10.441554304512007,0.657843169270258,30.026626617969328,0.15563964193642474,,,7.5994233376221265,0.4411350665899558,7.5994233376221265,0.4411350665899558,F,A00054359,A00054359,54359,1.2633249691046362,1.099673692421946,-11.129276190580196,-11.254130362225261
